variable name	model_name	category_type	tablename	form_header	explanation	
salpwrec	salpws	salaries	Salaries related to poll workers (including early voting locations)	Poll worker recruitment in-house - exclude multilingual	Includes preparation of recruitment and availability letters and recruitment notices, meetings with large employers/schools/government entities about poll worker recruitment, etc. Exclude multilingual.	In-house staff costs for: preparation of recruitment and availability letters,  recruitment notices; meetings with employers, schools, government entities about the poll worker recruitment. English-speaking poll workers only.
salpwrecm	salpws	salaries	Salaries related to poll workers (including early voting locations)	Poll worker recruitment in-house - multilingual only	Includes preparation of recruitment and availability letters and recruitment notices, meetings with large employers/schools/government entities about poll worker recruitment, etc. Multilingual only.	In-house staff costs for: preparation of recruitment and availability letters,  recruitment notices; meetings with employers, schools, government entities about poll worker recruitment. Bilingual and multilingual poll workers only.
salpwdvtrain	salpws	salaries	Salaries related to poll workers (including early voting locations)	Development of poll worker training in-house	In-house development of training manual and audio-visual aids for poll worker training.	In-house staff costs to develop and update the training manuals and audio-visual aids for the poll worker training
salpwtrain	salpws	salaries	Salaries related to poll workers (including early voting locations)	Poll worker training in-house	Scheduling and conducting poll worker training by in-house staff.	In-house staff costs to schedule and conduct the poll worker training.
salpwpay	salpws	salaries	Salaries related to poll workers (including early voting locations)	Poll worker payroll processing in-house	Processing poll worker payroll by in-house staff.	In-house staff costs to process the poll worker payroll.
salpwoth	salpws	salaries	Salaries related to poll workers (including early voting locations)	Other 	Other in-house labor related to poll workers, such as: poll worker assignment and coordination, poll worker manual update, arranging for training facilities/equipment/supplies, poll worker evaluation, etc.	In-house staff costs for other tasks related to the poll workers such as poll worker assignment and coordination, arranging for training facilities/equipment/supplies, poll worker evaluation, etc.
salpwpsrp	salpws	salaries	Salaries related to poll workers (including early voting locations)	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.	
salpwpsop	salpws	salaries	Salaries related to poll workers (including early voting locations)	Salaries Permanent staff Overtime pay	Permanent staff overtime pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.	
salpwtsrp	salpws	salaries	Salaries related to poll workers (including early voting locations)	Salaries Temporary staff Regular pay	Temporary staff regular pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.	
salpwrtsop	salpws	salaries	Salaries related to poll workers (including early voting locations)	Salaries Temporary staff Overtime pay	Temporary staff overtime pay for performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.	
salpwbeps	salpws	salaries	Salaries related to poll workers (including early voting locations)	Benefits Permanent staff In dollars	Total benefits in dollars for permanent staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  	
salpwbepsp	salpws	salaries	Salaries related to poll workers (including early voting locations)	Benefits Permanent staff In percent	Total benefits in percent for permanent staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  	
salpwbets	salpws	salaries	Salaries related to poll workers (including early voting locations)	Benefits Temporary staff  In dollars	Total benefits in dollars for temporary staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  	
salpwbetsp	salpws	salaries	Salaries related to poll workers (including early voting locations)	Benefits Temporary staff In percent	Total benefits in percent for temporary staff performing tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.  	
salpwhrsps	salpws	salaries	Salaries related to poll workers (including early voting locations)	Hours worked Permanent staff	Hours worked by permanent staff on tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.	
salpwhrsts	salpws	salaries	Salaries related to poll workers (including early voting locations)	Hours worked Temporary staff	Hours worked by temporary staff on tasks related to poll workers, including poll worker recruitment, development of poll worker training, poll worker training, poll worker payroll processing, and other.	
						
salvbm		salaries	VBM:			
salvbmoutr	salvbms	salaries	Salaries related to VBM	Outreach activities	Outreach activities related to VBM and performed by in-house staff.	In-house staff costs for the VBM outreach activities. Exclude, if included in your indirect costs.
salvbmappro	salvbms	salaries	Salaries related to VBM	VBM application processing	In-house data entry of VBM applications, including permanent VBM. 	In-house staff costs for the VBM applications data entry. 
salvbmuoapp	salvbms	salaries	Salaries related to VBM	Military/oversees application processing	Data entry of military/oversees applications and updates performed by in-house staff.	In-house staff costs for the military/oversees applications data entry and updates.
salvbmproces	salvbms	salaries	Salaries related to VBM	Processing VBM ballots	Processing VBM ballots by in-house staff includes: VBM packets preparation, returned ballots processing, signature check, tally prep, ballot error activities, etc.	Processing the VBM ballots by the in-house staff includes VBM packets preparation, returned ballots processing, signature check, tally prep, ballot error activities, etc.
salvbmoth	salvbms	salaries	Salaries related to VBM	Other 	Other in-house labor related to VBM, such as: designing and printing forms, ballot on demand activities, data entry of returned VBM ballots, quality control, arrangements with mail processing services, phone assistance, SB90 claim compilation, etc. 	In-house staff costs for other VBM tasks such as designing and printing forms, ballot on demand activities, quality control, data entry of all required information, coordinating with USPS, arrangements with mail processing services, phone assistance, SB90 claim compilation, etc. 
salvbmpsrp	salvbms	salaries	Salaries related to VBM	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.	
salvbmpsop	salvbms	salaries	Salaries related to VBM	Salaries Permanent staff Overtime pay	Permanent staff overtime pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.	
salvbmtsrp	salvbms	salaries	Salaries related to VBM	Salaries Temporary staff Regular pay	Temporary staff regular pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.	
salvbmtsop	salvbms	salaries	Salaries related to VBM	Salaries Temporary staff Overtime pay	Temporary staff overtime pay for performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.	
salvbmbeps	salvbms	salaries	Salaries related to VBM	Benefits Permanent staff In dollars	Total benefits in dollars for permanent staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.  	
salvbmbepsp	salvbms	salaries	Salaries related to VBM	Benefits Permanent staff In percent	Total benefits in percent for permanent staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other. 	
salvbmbets	salvbms	salaries	Salaries related to VBM	Benefits Temporary staff  In dollars	Total benefits in dollars for temporary staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.  	
salvbmbetsp	salvbms	salaries	Salaries related to VBM	Benefits Temporary staff In percent	Total benefits in percent for temporary staff performing tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other. 	
salvbmhrsps	salvbms	salaries	Salaries related to VBM	Hours worked Permanent staff	Hours worked by permanent staff on tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.	
salvbmhrsts	salvbms	salaries	Salaries related to VBM	Hours worked Temporary staff	Hours worked by temporary staff on tasks related to VBM, including VBM outreach activities, VBM application processing, military/oversees application processing, coordinating with USPS, processing VBM ballots and other.	
						
salbc		salaries	Ballot counting:			
salbcnvbmp	salbcs	salaries	Salaries related to ballot counting	Counting ballots - exclude VBM and provisional	Costs to count ballots by in-house staff. Exclude counting VBM and provisional ballots.	Costs to count the ballots by the in-house staff. Exclude counting of the VBM and provisional ballots.
salbcvbm	salbcs	salaries	Salaries related to ballot counting	Counting VBM ballots 	Costs to count VBM ballots by in-house staff.	Costs to count the VBM ballots by the in-house staff.
salbcprov	salbcs	salaries	Salaries related to ballot counting	Counting provisional ballots	Costs to count provisional ballots by in-house staff.	Costs to count the provisional ballots by the in-house staff.
salbcprocpb	salbcs	salaries	Salaries related to ballot counting	Processing provisional ballots	In-house staff cost to process provisional ballots (researching voter records, remaking ballots onto the correct ballot type), include reports to SOS.	In-house staff cost to process the provisional ballots (researching voter records, remaking ballots onto the correct ballot type), include reports to SOS.
salbccanvdb	salbcs	salaries	Salaries related to ballot counting	Duplicating ballots	In-house staff costs to duplicate any military/overseas ballot or any other ballot that cannot be accurately read by the tally machine due to rips, tears, smudges, etc. 	
salbccanvone	salbcs	salaries	Salaries related to ballot counting	1% manual tally	Costs to perform 1% manual tally by in-house staff.	Costs to perform the 1% manual tally by the in-house staff.
salbccanvdre	salbcs	salaries	Salaries related to ballot counting	DRE manual tally	Costs to perform RE manual tally by in-house staff.	Costs to perform the DRE manual tally by the in-house staff.
salbccanvpa	salbcs	salaries	Salaries related to ballot counting	Precinct audit	In-house staff costs to perform precinct audit (reconcile the ballots cast to the number of signatures on the roster at each precinct; reconcile the number of paper ballots returned (voted, unvoted, provisional and spoiled) from a precinct versus the number that were sent, etc).	In-house staff costs to perform the precinct audit (reconcile the ballots cast to the number of signatures on the roster at each precinct; reconcile the number of paper ballots returned (voted, unvoted, provisional and spoiled) from a precinct versus the number that were sent, etc).
salbccanvsa	salbcs	salaries	Salaries related to ballot counting	Seal audit	In-house staff costs to perform seal audit (verify that the seals that were assigned to a specific piece of equipment sent to a specific precinct are accurate and that a proper chain of custody is in place for each of the seals).	In-house staff costs to perform the seal audit (verify that the seals that were assigned to a specific piece of equipment sent to a specific precinct are accurate and that a proper chain of custody is in place for each of the seals).
salbccanvva	salbcs	salaries	Salaries related to ballot counting	VBM audit 	In-house staff costs to perform VBM audit (verify that the number of VBMs tallied equals the number of VBM ballots returned as good).	In-house staff costs to perform the VBM audit (verify that the number of VBMs tallied equals the number of VBM ballots returned as good).
salbccanvoth	salbcs	salaries	Salaries related to ballot counting	Other canvass tasks	In-house staff costs of all other canvass tasks, such as precinct supply review, precinct voter history processing, transport bag review, write-in tally, equipment incident report, statement of vote, etc.	
salbcsec	salbcs	salaries	Salaries related to ballot counting	Security	Costs for in-house security.	Costs for in-house security during the ballot counting.
sabcoth	salbcs	salaries	Salaries related to ballot counting	Other 	Logic and other testing, arrangements for additional help/vendor support/facilities, purchasing necessary supplies, and other tasks related to ballot counting and performed by in-house staff.	Logic and other testing, arrangements for additional help/vendor support/facilities, purchasing necessary supplies, and other tasks related to the ballot counting and performed by the in-house staff.
salbcpsrp	salbcs	salaries	Salaries related to ballot counting	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.	
salbcpsop	salbcs	salaries	Salaries related to ballot counting	Salaries Permanent staff Overtime pay	Permanent staff overtime pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.	
salbctsrp	salbcs	salaries	Salaries related to ballot counting	Salaries Temporary staff Regular pay	Temporary staff regular pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.	
salbctsop	salbcs	salaries	Salaries related to ballot counting	Salaries Temporary staff Overtime pay	Temporary staff overtime pay for performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.	
salbcbeps	salbcs	salaries	Salaries related to ballot counting	Benefits Permanent staff In dollars	Total benefits in dollars for permanent staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.  	
salbcbepsp	salbcs	salaries	Salaries related to ballot counting	Benefits Permanent staff In percent	Total benefits in percent for permanent staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other. 	
salbcbets	salbcs	salaries	Salaries related to ballot counting	Benefits Temporary staff  In dollars	Total benefits in dollars for temporary staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.  	
salbcbetsp	salbcs	salaries	Salaries related to ballot counting	Benefits Temporary staff In percent	Total benefits in percent for temporary staff performing tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other. 	
salbchrsps	salbcs	salaries	Salaries related to ballot counting	Hours worked Permanent staff	Hours worked by permanent staff on tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.	
salbchrsts	salbcs	salaries	Salaries related to ballot counting	Hours worked Temporary staff	Hours worked by temporary staff on tasks related to ballot counting, including counting ballots in-house, automatic/manual/other recounts, canvss/1% hand count/audit, ballot counting security and other.	
						
salcan		salaries	Candidates:			
salcanprep	salcans	salaries	Salaries related to candidates	Preparation of candidate guide and forms	Preparation of candidate guide and forms by in-house staff.	In-house staff costs for preparation of the candidate guide and forms.
salcanproc	salcans	salaries	Salaries related to candidates	Processing candidates	Processing candidates by In-house staff, including processing candidate filings, preparation/proof of candidate statements, issuing/receiving candidate nomination papers and verifying signatures, processing campaign disclosure statements, etc.	In-house staff costs for processing the candidates, including processing candidate filings, preparation/proof of candidate statements, issuing/receiving candidate nomination papers and verifying signatures, processing campaign disclosure statements, etc.
slacanoth	salcans	salaries	Salaries related to candidates	Other 	Other in-house labor related to candidates, including preparation and training for candidate filing, preparation of candidate related legal notices, etc.	Other in-house labor costs related to the candidates, including preparation and training for the candidate filing, preparation of candidate related legal notices, etc.
salcanpsrp	salcans	salaries	Salaries related to candidates	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.	
salcanpsop	salcans	salaries	Salaries related to candidates	Salaries Permanent staff Overtime pay	Permanent staff overtime pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.	
salcantsrp	salcans	salaries	Salaries related to candidates	Salaries Temporary staff Regular pay	Temporary staff regular pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.	
salcantsop	salcans	salaries	Salaries related to candidates	Salaries Temporary staff Overtime pay	Temporary staff overtime pay for performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.	
salcanbeps	salcans	salaries	Salaries related to candidates	Benefits Permanent staff In dollars	Total benefits in dollars for permanent staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 	
salcanbepsp	salcans	salaries	Salaries related to candidates	Benefits Permanent staff In percent	Total benefits in percent for permanent staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 	
salcanbets	salcans	salaries	Salaries related to candidates	Benefits Temporary staff  In dollars	Total benefits in dollars for temporary staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 	
salcanbetsp	salcans	salaries	Salaries related to candidates	Benefits Temporary staff In percent	Total benefits in percent for temporary staff performing tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other. 	
salcanhrsps	salcans	salaries	Salaries related to candidates	Hours worked Permanent staff	Hours worked by permanent staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.	
salcanhrsts	salcans	salaries	Salaries related to candidates	Hours worked Temporary staff	Hours worked by temporary staff on tasks related to the candidates, including preparation of candidate guide and forms, processing candidates, and other.	
						
salmed		salaries	Media:			
salmedprep	salmeds	salaries	Salaries related to media	Preparation of press releases and legal notices	Preparation of press releases by in-house staff to inform about nomination paper deadlines, voter registration deadlines, early voting option, the date of election and when the polls will be open, rules and laws regarding  media at polling places on Election Day and exit polling, a list of candidates and measures on the ballot, sample ballot, etc.	In-house staff costs to prepare the press releases to inform about the nomination paper deadlines, voter registration deadlines, early voting option, date of election and when the polls will be open, rules and laws regarding media at the polling places on the Election Day and exit polling, a list of candidates and measures on the ballot, sample ballot, etc. English only.
salmedhandl	salmeds	salaries	Salaries related to media	Handling of media inquiries	Handling of media inquiries by in-house staff.	In-house staff costs to manage any media inquiries. English only
salmedcampm	salmeds	salaries	Salaries related to media	Media campaign - multilingual	In-house staff costs to run a multilingual media campaign.	In-house staff costs to organize media campaigns in languages other than English, including preparation of press releases and legal notices, handling of any media inquiries, etc.
salmedpsrp	salmeds	salaries	Salaries related to media	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.	
salmedpsop	salmeds	salaries	Salaries related to media	Salaries Permanent staff Overtime pay	Permanent staff overtime pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.	
salmedtsrp	salmeds	salaries	Salaries related to media	Salaries Temporary staff Regular pay	Temporary staff regular pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.	
salmedtsop	salmeds	salaries	Salaries related to media	Salaries Temporary staff Overtime pay	Temporary staff overtime pay for performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.	
salmedbeps	salmeds	salaries	Salaries related to media	Benefits Permanent staff In dollars	Total benefits in dollars for permanent staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 	
salmedbepsp	salmeds	salaries	Salaries related to media	Benefits Permanent staff In percent	Total benefits in percent for permanent staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 	
salmedbets	salmeds	salaries	Salaries related to media	Benefits Temporary staff  In dollars	Total benefits in dollars for temporary staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 	
salmedbetsp	salmeds	salaries	Salaries related to media	Benefits Temporary staff In percent	Total benefits in percent for temporary staff performing tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other. 	
salmedhrsps	salmeds	salaries	Salaries related to media	Hours worked Permanent staff	Hours worked by permanent staff on tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.	
salmedhrsts	salmeds	salaries	Salaries related to media	Hours worked Temporary staff	Hours worked by temporary staff on tasks related to the media, including preparation of press releases and legal notices, handling of media inquiries, and other.	
						
saldojo		salaries	DOJ and other stakeholders:			
saldojomc	saldojos	salaries	Salaries related to DOJ and other stakeholders	Meeting and coordination	Meeting and coordination with DOJ and other stakeholders by in-house staff.	In-house staff costs for meeting and coordination with the DOJ and other stakeholders.
saldojopsrp	saldojos	salaries	Salaries related to DOJ and other stakeholders	Salaries Permanent staff Regular pay	Permanent staff regular pay for performing tasks related to the DOJ and other stakeholders, including meetings and coordination. 	
